Name:Med;ID:2;Dimension:4x313
RThigh,LThigh,RShank,LShank,
 16.729689162005, -8.923904531867, 16.830327542204,-15.602549718347,
 16.740939822395, -9.023227734540, 16.748907603144,-15.858762588404,
 16.785820190519, -9.142179297220, 16.596292145430,-16.174393832565,
 16.845538607774, -9.240248892778, 16.411128893351,-16.452284311968,
 16.916523244091, -9.337442861325, 16.178125004934,-16.747891179489,
 17.010657140367, -9.437605157953, 15.890355837547,-17.055359305079,
 17.116974466402, -9.541172292370, 15.548655945282,-17.384909046817,
 17.223769099843, -9.637318173128, 15.181819700330,-17.703704086524,
 17.332453549956, -9.733266686816, 14.772504018683,-18.039631182681,
 17.441331829555, -9.836757464098, 14.312446379787,-18.399185833791,
 17.551625248403, -9.949973649592, 13.803368413727,-18.795113189242,
 17.635418246324,-10.050871029049, 13.362922026168,-19.159469476592,
 17.698786893849,-10.145406265283, 12.989477630995,-19.503887143571,
 17.747948425576,-10.265331283916, 12.610051066841,-19.922080006948,
 17.769940853859,-10.369740841363, 12.341736811562,-20.292086297345,
 17.760044147663,-10.474559211566, 12.139333103239,-20.666343873924,
 17.717647097920,-10.586110089195, 11.985600713306,-21.069240657870,
 17.640755035747,-10.688834140483, 11.886942450953,-21.446976142752,
 17.533619782703,-10.792395442482, 11.787930185343,-21.843069741545,
 17.381411908614,-10.897493490303, 11.671474946347,-22.274161478339,
 17.216089249147,-10.991919345595, 11.523107949964,-22.690698832420,
 17.023074919010,-11.085466783071, 11.323387386468,-23.141975088934,
 16.834036805912,-11.161452427069, 11.095861457856,-23.573205480572,
 16.656581452448,-11.222722913746, 10.852053935386,-23.980797444682,
 16.482262265006,-11.276893700472, 10.549295014645,-24.436861428315,
 16.335303488292,-11.316314328301, 10.221940436607,-24.896513464648,
 16.219295713227,-11.336664208172,  9.867335110685,-25.378555546282,
 16.139904567347,-11.333922264831,  9.461291674723,-25.922105039249,
 16.099796607066,-11.311350121921,  9.096081042032,-26.416103929913,
 16.089269580266,-11.267748514605,  8.743715894850,-26.904456244183,
 16.112269696705,-11.191150240300,  8.356053947036,-27.448894179979,
 16.152204814811,-11.095290432400,  7.986497133436,-27.982367763433,
 16.198826623939,-10.971235980231,  7.599835535079,-28.553239081871,
 16.239899147193,-10.825773085498,  7.248481353913,-29.087265324812,
 16.281677458373,-10.654144116694,  6.870532916353,-29.664069597005,
 16.303624304079,-10.455844731384,  6.493813630381,-30.253542971259,
 16.295896398503,-10.243092113482,  6.139338407136,-30.825586583088,
 16.244625473328, -9.999828378938,  5.779991339967,-31.433236980354,
 16.150252098706, -9.713966977487,  5.403525624526,-32.097805916475,
 16.010405468282, -9.431134525016,  5.076268640690,-32.701833450827,
 15.785148213850, -9.076965963896,  4.711865812662,-33.413191549117,
 15.496390590375, -8.666609398761,  4.330530760546,-34.189611113641,
 15.207751008654, -8.289818686032,  4.006291375695,-34.870506752131,
 14.875185206463, -7.888526296279,  3.698885741113,-35.556672159256,
 14.528643416006, -7.475295083033,  3.402307168899,-36.229816783953,
 14.192545727527, -7.071307982113,  3.131810486473,-36.860224817472,
 13.822197021487, -6.610758845103,  2.843349465952,-37.543965050715,
 13.447039892706, -6.132640824801,  2.556852743748,-38.232717943783,
 13.095372481479, -5.649986125216,  2.284905960733,-38.894738146029,
 12.766397038696, -5.176765372534,  2.035367305194,-39.520313129679,
 12.404411083310, -4.623151571427,  1.754089360256,-40.224107795281,
 12.071475579684, -4.075100639558,  1.486783694200,-40.891620552541,
 11.763020645604, -3.537315039886,  1.240957363226,-41.523240399770,
 11.454552066928, -2.979608891950,  0.999628897759,-42.158779500288,
 11.144035868667, -2.400023566637,  0.759899380653,-42.798096910142,
 10.835342408348, -1.786026425185,  0.517708276943,-43.446719129400,
 10.567021650610, -1.230315276509,  0.307307428554,-44.013268042213,
 10.251051158213, -0.562000364961,  0.060472828987,-44.670689965700,
  9.988814875442,  0.011155151001, -0.143922450814,-45.212854068229,
  9.749379379300,  0.537148200225, -0.323070874419,-45.699947659426,
  9.480786456337,  1.124315533889, -0.516234938574,-46.234674010495,
  9.206767162813,  1.738304756230, -0.718938413267,-46.784054825044,
  8.968496282362,  2.268463214917, -0.887629240990,-47.247636858649,
  8.734130947136,  2.785030093982, -1.049530902034,-47.693608427053,
  8.504364990113,  3.298724502958, -1.205768152010,-48.121700546929,
  8.279075358904,  3.800529337115, -1.358463321500,-48.528129920687,
  8.080012159947,  4.243429849467, -1.490985598035,-48.881373775488,
  7.836358475955,  4.791556378615, -1.656410345965,-49.291960214854,
  7.625140080223,  5.263592596823, -1.798696972522,-49.626846378047,
  7.394013635879,  5.773333098695, -1.957884319645,-49.974878746718,
  7.182735301419,  6.234485952042, -2.099962302576,-50.240604622602,
  6.954470965033,  6.725061854891, -2.254430020830,-50.498671907441,
  6.738194156401,  7.178219008161, -2.396942511438,-50.704331295692,
  6.527799185274,  7.607914955440, -2.532761948035,-50.870892960677,
  6.287705127152,  8.083951643771, -2.681247906323,-51.017589045884,
  6.047258346041,  8.547460501262, -2.824854255704,-51.117183742777,
  5.797609850163,  9.013263301029, -2.965453799629,-51.167769177721,
  5.540661520008,  9.482523566644, -3.100686163389,-51.187546986172,
  5.307041265282,  9.895714062074, -3.219093832896,-51.153912057718,
  5.046550486199, 10.351748043482, -3.349856553484,-51.078953072981,
  4.804476424601, 10.768551854219, -3.466073913728,-50.970702673189,
  4.569269467481, 11.173700447527, -3.580364490464,-50.823315632954,
  4.337529185885, 11.573111987031, -3.691673181970,-50.649897038699,
