Name:SD;ID:7;Dimension:4x309
RThigh,LThigh,RShank,LShank,
 32.070811548391, 12.780547508175,-61.097744669463,-11.717761872367,
 32.413380098930, 12.575540821006,-60.730871859285,-11.750087398799,
 32.993945897782, 12.157672877732,-59.697171351988,-11.774203937053,
 33.276935254859, 11.946643552118,-59.175114124447,-11.779655577869,
 33.617024524363, 11.696047553821,-58.434701377912,-11.790637860749,
 33.883472358381, 11.478078418320,-57.710027206097,-11.792762323216,
 34.091819770996, 11.316073351001,-57.153029536469,-11.796915955752,
 34.380664638664, 11.093866143582,-56.381115096874,-11.798969414201,
 34.568308288548, 10.929832617529,-55.683544675758,-11.798096353505,
 34.794704146029, 10.732819789330,-54.865380219493,-11.798281902737,
 35.024003759854, 10.520979589955,-53.926007992108,-11.794820826168,
 35.121400690119, 10.404966078364,-53.300815097942,-11.799315224874,
 35.257359671973, 10.272783822569,-52.565331638889,-11.804612034219,
 35.362890209068, 10.160578737113,-51.894667791881,-11.811719118855,
 35.493482039651, 10.009260896406,-51.099455369902,-11.810262371719,
 35.598885995278,  9.838162191723,-50.113188610257,-11.817332790597,
 35.685636866026,  9.657565154375,-49.141985055578,-11.819506160005,
 35.775016665685,  9.463905969731,-48.081606074222,-11.818653936291,
 35.836856184789,  9.296639540502,-47.022729033276,-11.831841767155,
 35.855484315000,  9.181145088287,-46.241089648695,-11.851228919955,
 35.880779374208,  9.028560936258,-45.233439067060,-11.876109639529,
 35.881465808778,  8.914576318701,-44.420194303571,-11.901613636145,
 35.864632469728,  8.754313783674,-43.241161117023,-11.945985940863,
 35.841226840474,  8.644079707069,-42.345499908179,-11.986381273371,
 35.800058576335,  8.503081829773,-41.209838333538,-12.036939332387,
 35.758830202737,  8.357432088658,-40.060198001936,-12.085034376973,
 35.688704859788,  8.247016635196,-39.013575285553,-12.148211078668,
 35.557699169055,  8.103809571017,-37.510850854765,-12.247388361015,
 35.397945828369,  7.980531370070,-36.008212129633,-12.371817255455,
 35.206409902785,  7.914477214336,-34.744163333340,-12.512743904863,
 35.070658314664,  7.856028867253,-33.789390119400,-12.611628212286,
 34.939716818963,  7.776439168464,-32.770742834369,-12.703813929190,
 34.742933789952,  7.718484959275,-31.563325699670,-12.843681550243,
 34.567097260327,  7.670073772715,-30.480310056901,-12.974639233125,
 34.345592144651,  7.648154813654,-29.389984065876,-13.124374960410,
 34.065367989133,  7.626523266676,-28.095870634749,-13.302784769980,
 33.751527405438,  7.612758199256,-26.687659277388,-13.502172802194,
 33.448588777041,  7.623560664387,-25.458451289473,-13.696125115934,
 33.174274547146,  7.646996984031,-24.398964723276,-13.878124559913,
 32.882078573162,  7.666189155024,-23.256875287878,-14.061314136535,
 32.496744602367,  7.722049708199,-21.859640848903,-14.321449115146,
 32.182528547101,  7.789035552406,-20.855334964285,-14.539849300101,
 31.829198575247,  7.851821788117,-19.755944998362,-14.766415098007,
 31.315910307655,  7.967763812140,-18.223395784458,-15.111066448854,
 30.831397676153,  8.103749639303,-16.926011263226,-15.448097308270,
 30.258589746862,  8.254574200331,-15.385986449794,-15.831075073388,
 29.806061807604,  8.388411435281,-14.207244874777,-16.144305792813,
 29.309155059487,  8.546842933747,-12.913296532020,-16.494025473176,
 28.790902332043,  8.726880195447,-11.704385045238,-16.870947349720,
 28.282171145578,  8.909149266849,-10.570553767582,-17.248746588264,
 27.824696960686,  9.070221856402, -9.569112647641,-17.582712615478,
 27.378325512640,  9.226504451145, -8.652112619179,-17.916962599504,
 27.004540169975,  9.359102739653, -7.836359461069,-18.196173240070,
 26.407068910153,  9.564869297528, -6.582325185778,-18.633147849147,
 25.958320608955,  9.729168399447, -5.706806721464,-18.978858648825,
 25.687925808847,  9.839953619263, -5.216945394829,-19.210611243027,
 25.074148117231, 10.070549204738, -4.081456171538,-19.723217719012,
 24.634783247492, 10.247682426009, -3.283147945828,-20.112794180170,
 24.241741751176, 10.409666092751, -2.567966624075,-20.455698750148,
 23.711410858300, 10.636667178643, -1.664250544875,-20.965800524199,
 23.297821538433, 10.812187683552, -0.952229183594,-21.382398589959,
 22.960552536598, 10.957703248567, -0.382982845901,-21.743114049964,
 22.439457882111, 11.178941138919,  0.484288063103,-22.272183522710,
 21.953999464633, 11.397626768599,  1.226599511360,-22.861364955038,
 21.650046043195, 11.540858598809,  1.691155513721,-23.236139501094,
 21.290011777718, 11.704579620602,  2.198105566791,-23.698738506446,
 20.964124322058, 11.852837736196,  2.662447977106,-24.115474718874,
 20.501527572335, 12.057176777332,  3.356232557852,-24.730699212635,
 20.128694789916, 12.220836448783,  3.838886839964,-25.251582403776,
 19.773657036722, 12.372941081802,  4.290511720209,-25.761856835959,
 19.427695205118, 12.534957234036,  4.657704340042,-26.280051024220,
 19.098524192712, 12.700080847771,  4.975865022881,-26.814849238601,
 18.871606267791, 12.813359725403,  5.195565772752,-27.170553527440,
 18.680275140887, 12.912367687058,  5.376521144349,-27.476427759535,
 18.453433091452, 13.022135900118,  5.554715592777,-27.852319333665,
 18.239945373884, 13.129310602508,  5.723848337206,-28.217246535371,
 17.990950243093, 13.254908003349,  5.938195181080,-28.645754490387,
 17.642818458529, 13.432314419751,  6.155733825310,-29.292980328416,
 17.384993551654, 13.565561028779,  6.306292312454,-29.777949707832,
 17.161572598622, 13.684422846210,  6.392668299203,-30.219667954395,
 16.919057350837, 13.819762891978,  6.440703998141,-30.748398761568,
 16.681417935491, 13.968371102509,  6.433232812337,-31.295824291361,
 16.464058598223, 14.091270794882,  6.438603839415,-31.769446472040,
