Dimension,4,286
RThigh,LThigh,RShank,LShank,
 19.146605540687, -8.574708475981, 18.708447565117,-26.472870550641,
 19.166393911421, -8.837874473309, 18.556996713860,-26.862404687186,
 19.210488889159, -9.048373467957, 18.369570090199,-27.203325882262,
 19.269027324112, -9.255320124204, 18.139881177947,-27.543234099584,
 19.360791140652, -9.482751017345, 17.815842748905,-27.938520564645,
 19.461755430567, -9.704932329624, 17.434535867072,-28.343375744713,
 19.557575007558, -9.907977948086, 17.042752176254,-28.730017196766,
 19.649799638499,-10.106663530207, 16.627777103510,-29.123949629491,
 19.730814442196,-10.294153040731, 16.224183128007,-29.508895833736,
 19.816550214832,-10.482690829274, 15.809644903444,-29.937207442626,
 19.888967354844,-10.673893720078, 15.445189913068,-30.403383581421,
 19.960887216641,-10.857142093093, 15.137836230029,-30.907118803088,
 20.023130574178,-11.025874073558, 14.893459151179,-31.434023889545,
 20.042278439928,-11.153372112393, 14.737660380526,-31.883883774311,
 20.047860994773,-11.271214562777, 14.590705371592,-32.383912150758,
 20.030628366067,-11.371809809699, 14.445903322240,-32.880520433000,
 19.994231567685,-11.445270097054, 14.297404180555,-33.384409372807,
 19.917763893062,-11.518764003659, 14.083782443953,-33.938992241146,
 19.822947399888,-11.573028444810, 13.822845362035,-34.541428609172,
 19.706865671658,-11.601295612738, 13.550884651832,-35.112278219414,
 19.566840794345,-11.612944143277, 13.224070517209,-35.745128016674,
 19.445751462553,-11.587485935779, 12.861168063914,-36.375351989927,
 19.358511543866,-11.528395663409, 12.430074434124,-37.066120126528,
 19.307952612256,-11.440549543916, 12.020618175061,-37.731263193591,
 19.313005307202,-11.297550582242, 11.571432680376,-38.419873908213,
 19.348267758277,-11.132299696597, 11.096564265482,-39.128084803742,
 19.400780672450,-10.943389835300, 10.668366836795,-39.773895552559,
 19.472911247286,-10.747903561608, 10.264525413874,-40.396209803177,
 19.561945513096,-10.507436824204,  9.833888077595,-41.039937013310,
 19.686150325588,-10.178113247791,  9.342752071540,-41.757409385823,
 19.787763556789, -9.828673077287,  8.868132519105,-42.432111244524,
 19.871758936639, -9.480893773719,  8.417353000969,-43.052643412440,
 19.931958544052, -9.099660139708,  7.963516951103,-43.676495285118,
 19.950563738882, -8.680999038711,  7.502505157640,-44.305140289584,
 19.981019195798, -8.261232270820,  7.030510438772,-44.912301363534,
 19.948254435647, -7.858944036052,  6.611229319114,-45.444720626763,
 19.864274739717, -7.401509349548,  6.153899061178,-46.022927066471,
 19.769727022726, -6.946611845881,  5.681277768972,-46.615110738121,
 19.627904998660, -6.479426052126,  5.241482528956,-47.164372291725,
 19.457716990576, -6.035677993597,  4.837190237400,-47.666465501846,
 19.262234273865, -5.540023034336,  4.398489988178,-48.208439079650,
 19.054801579354, -5.077039369158,  3.997150513797,-48.705266043747,
 18.812115487024, -4.566205822440,  3.536996387201,-49.263846778922,
 18.533253127480, -4.054942290398,  3.104893868858,-49.769753426735,
 18.284157768093, -3.598494344663,  2.707716918957,-50.232416180882,
 18.035857881915, -3.167287094077,  2.328095917982,-50.679633309232,
 17.765356119433, -2.733896993306,  1.941763414349,-51.095743170952,
 17.491180045455, -2.306383816536,  1.564179515298,-51.530549617766,
 17.214738048690, -1.861628713017,  1.181670004309,-51.945052988066,
 16.931514369259, -1.402627248140,  0.792893205674,-52.342332537950,
 16.643663261222, -0.934391198373,  0.406504627723,-52.715711999389,
 16.367337844373, -0.479257299269,  0.046459848964,-53.046756517277,
 16.096111930911, -0.026224769710, -0.298959143283,-53.327954888962,
 15.853974416726,  0.385657029018, -0.594499634796,-53.576881097259,
 15.623238559148,  0.787040626190, -0.880298773604,-53.809324327378,
 15.316376660073,  1.333853391224, -1.268380645111,-54.011324063795,
 15.013214008745,  1.876153701319, -1.632216977196,-54.205588628758,
 14.745752836340,  2.371157157975, -1.955114531260,-54.354011480441,
 14.527174182237,  2.785578230342, -2.213209328033,-54.420074073845,
 14.295214829895,  3.217829729833, -2.471819194674,-54.467872958684,
 14.039954236193,  3.681492693117, -2.735777165376,-54.482469577681,
