Dimension:4x14170
RThighAng,LThighAng,RShankAng,LShankAng,
 -2.593195378204, -1.977995376415, -4.003419903476,-32.560616536045,
 -2.593616985110, -1.976344923480, -4.003434234082,-32.559745342662,
 -2.594209461591, -1.975158595653, -4.002331435371,-32.559059506467,
 -2.596699279960, -1.972841652763, -4.000350962930,-32.557734118701,
 -2.598564235872, -1.972181412407, -3.999184667670,-32.556752025375,
 -2.598564235872, -1.972181412407, -3.999184667670,-32.556752025375,
 -2.602142275405, -1.971017275801, -3.997354628534,-32.555621164805,
 -2.603972902748, -1.971294972631, -3.996284652267,-32.554941414293,
 -2.606073321466, -1.971415885995, -3.994718593879,-32.554306479193,
 -2.606073321466, -1.971415885995, -3.994718593879,-32.554306479193,
 -2.607670434299, -1.971612804602, -3.993163162280,-32.553505282268,
 -2.609528583085, -1.972027957712, -3.991325791373,-32.552566761583,
 -2.611051900760, -1.973210769814, -3.990083236107,-32.551525512177,
 -2.612689733415, -1.974506563128, -3.988150178428,-32.550207402416,
 -2.614371475607, -1.975974143645, -3.986505697939,-32.548507142519,
 -2.618370319001, -1.981190588923, -3.984050277296,-32.546024607991,
 -2.618370319001, -1.981190588923, -3.984050277296,-32.546024607991,
 -2.622390609405, -1.987374586217, -3.980825207487,-32.543268850515,
 -2.624705400031, -1.990047500634, -3.979431331234,-32.541596614667,
 -2.627046636666, -1.992980073928, -3.977486380148,-32.540240395910,
 -2.631866004109, -1.997621108430, -3.973663884640,-32.539583473777,
 -2.633682042422, -2.000237382344, -3.972547731260,-32.540001094405,
 -2.633682042422, -2.000237382344, -3.972547731260,-32.540001094405,
 -2.633682042422, -2.000237382344, -3.972547731260,-32.540001094405,
 -2.638346584102, -2.004144155589, -3.967106154351,-32.545319775142,
 -2.637957604014, -2.006846609214, -3.960864589453,-32.549384284386,
 -2.638498588654, -2.007372970424, -3.959597753268,-32.550679179304,
 -2.639008491511, -2.007691704598, -3.958709497729,-32.551323090063,
 -2.638903294907, -2.008492165220, -3.957804347119,-32.553726224934,
 -2.638906109766, -2.009104319807, -3.957243660980,-32.554369833991,
 -2.639406621930, -2.009889682841, -3.956836931619,-32.554879216508,
 -2.640371638829, -2.010603597054, -3.956870906727,-32.555908533903,
 -2.642485212566, -2.012129834576, -3.956711411758,-32.556894752315,
 -2.644737493601, -2.013294800527, -3.956500501541,-32.557243317996,
 -2.646905231555, -2.014548765689, -3.956050480096,-32.558184111633,
 -2.648889732028, -2.015839216021, -3.955765047429,-32.558637218191,
 -2.651082499319, -2.017240522300, -3.955759401945,-32.559261552609,
 -2.651082499319, -2.017240522300, -3.955759401945,-32.559261552609,
 -2.656878409653, -2.021545684107, -3.957707503825,-32.559840147379,
 -2.658689374414, -2.023206506566, -3.958198824911,-32.559414613829,
 -2.660016820630, -2.024605704476, -3.958959550926,-32.558822624550,
 -2.661039951699, -2.025832539157, -3.959860820569,-32.558208078805,
 -2.661778351180, -2.026552429375, -3.961299205845,-32.557590094086,
 -2.661925247804, -2.027646194198, -3.962925088858,-32.556645777554,
 -2.662181798937, -2.028672289407, -3.965311591040,-32.554990863744,
 -2.662334943384, -2.028974051201, -3.966478576569,-32.554842113046,
 -2.662334943384, -2.028974051201, -3.966478576569,-32.554842113046,
 -2.662046536374, -2.026732033174, -3.969692134168,-32.553860645123,
 -2.662037842318, -2.025135118728, -3.970537341913,-32.553911024981,
 -2.661541401602, -2.023360860426, -3.971744505199,-32.554226127728,
 -2.660664367270, -2.019568670674, -3.974335964059,-32.553261722556,
 -2.659965287711, -2.017887445512, -3.975539146347,-32.553659476789,
 -2.659965287711, -2.017887445512, -3.975539146347,-32.553659476789,
 -2.658169458290, -2.013747806690, -3.977383569834,-32.554230885180,
 -2.656901204999, -2.011153706739, -3.977715984209,-32.554883563149,
 -2.656209273812, -2.008317736447, -3.978236740163,-32.555525964685,
 -2.654212449917, -2.005393757506, -3.979009489014,-32.556054591747,
 -2.652649495420, -2.002464909132, -3.979844743773,-32.557168883223,
 -2.650676071361, -1.999321707941, -3.980376114263,-32.558069073952,
 -2.648742818969, -1.996228836029, -3.981054869002,-32.559280608158,
 -2.648742818969, -1.996228836029, -3.981054869002,-32.559280608158,
 -2.645489087433, -1.989586738282, -3.981668146115,-32.562228743661,
 -2.645241546340, -1.986403671415, -3.981772185911,-32.563066050907,
 -2.646089348776, -1.983379035695, -3.981760218477,-32.564580614838,
 -2.647604514134, -1.980708062457, -3.981763130860,-32.565056880981,
 -2.649988131989, -1.977431098162, -3.981163062346,-32.564915592879,
 -2.653070024436, -1.974275286696, -3.980516543365,-32.564417562547,
 -2.658387429791, -1.970667997167, -3.974325696877,-32.562515151820,
 -2.661096411074, -1.968913989654, -3.973033554579,-32.560945426308,
 -2.663605771710, -1.967350048255, -3.971481106864,-32.560207294206,
 -2.667752148771, -1.966401198061, -3.968583051628,-32.558014607823,
 -2.669067567948, -1.966797786184, -3.967370830896,-32.557838521357,
 -2.670538346716, -1.967747011024, -3.966191394719,-32.558467324477,
 -2.671719999007, -1.968640854401, -3.964881312341,-32.559465721959,
 -2.672968084638, -1.970106626370, -3.963609390742,-32.560553914033,
 -2.674234213289, -1.971730726515, -3.962416769315,-32.562107115753,
 -2.675476706467, -1.973427808710, -3.961104625490,-32.562766285375,
 -2.676992018151, -1.975049633514, -3.959907003838,-32.563336127562,
 -2.679007150664, -1.976556223571, -3.958439798299,-32.563464469546,
 -2.680805606966, -1.978081690364, -3.957273845434,-32.563662098202,
 -2.682708874791, -1.979147960058, -3.956710346849,-32.563378431686,
 -2.684753811346, -1.980202494421, -3.956053179685,-32.563607689615,
 -2.686433906545, -1.981496389613, -3.955387728821,-32.564134030602,
 -2.688098282633, -1.982616427795, -3.954853460205,-32.564599415399,
 -2.691128012130, -1.985275706179, -3.952998198252,-32.566681406236,
 -2.692754736724, -1.986418365998, -3.952231961417,-32.567780059023,
 -2.694031120034, -1.987189707115, -3.951775894289,-32.568832681735,
 -2.695275092106, -1.988455739599, -3.951241782091,-32.569349662390,
 -2.696606819478, -1.988943360559, -3.950449097131,-32.569981488614,
 -2.697753093980, -1.989369289751, -3.949641063632,-32.570400018782,
 -2.698890914563, -1.989762717455, -3.949382014911,-32.570972974440,
 -2.700142639531, -1.989796658536, -3.949167884467,-32.571464211131,
 -2.701125393127, -1.989955852423, -3.949311188775,-32.572188204529,
 -2.702438086247, -1.989709848877, -3.949122219100,-32.572787473587,
 -2.702438086247, -1.989709848877, -3.949122219100,-32.572787473587,
 -2.703732309481, -1.989954933240, -3.949251726698,-32.573498287947,
 -2.705136310744, -1.990452289880, -3.949623980616,-32.573875520373,
 -2.705136310744, -1.990452289880, -3.949623980616,-32.573875520373,
 -2.706452065512, -1.990853684632, -3.949611696782,-32.574088442028,
 -2.708277579147, -1.991677972198, -3.950293725639,-32.574791223768,
 -2.710305403991, -1.992065497294, -3.950263178049,-32.575448407875,
 -2.712581819679, -1.992092867648, -3.950614718978,-32.575723666103,
 -2.714751038514, -1.991620754820, -3.950581164859,-32.575156964201,
